"index","id","name","primaryMuscle","inferredMuscle","bodyPart","equipment","imageTarget","videoTarget","duplicateCount","quality","flags"
"3591","boxing_left_uppercut","Boxing Left Uppercut","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3592","boxing_right_cross","Boxing Right Cross","Quads","Custom","Plyometrics","Body weight","","","2","44","missing_video;duplicate_group"
"3593","boxing_right_cross_boxing_right_cross_9lh","Boxing Right Cross","Quads","Custom","Plyometrics","Body weight","","","2","44","missing_video;duplicate_group"
"3594","boxing_right_hook_boxing_right_hook_9l0","Boxing Right Hook","Quads","Custom","Plyometrics","Body weight","","","2","44","missing_video;duplicate_group"
"3595","boxing_right_hook","Boxing Right Hook","Quads","Custom","Plyometrics","Body weight","","","2","44","missing_video;duplicate_group"
"3596","boxing_right_uppercut","Boxing Right Uppercut","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3597","broad_jump_to_vertical","Broad Jump to Vertical","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3598","bulgarian_jump_squat","Bulgarian Jump Squat","Quads","Quads","Thighs","Body weight","Thighs","","1","44","missing_video"
"3599","bulgarian_split_squat","Bulgarian Split Squat","Quads","Quads","Quadriceps, Thighs","Body weight","Thighs","Thighs","1","74",""
"3600","bulgarian_split_squat_with_chair","Bulgarian Split Squat with Chair","Quads","Quads","Quadriceps, Thighs","Body weight","Thighs","","1","44","missing_video"
"3601","butt_kicks_butt_kicks_63i","Butt Kicks","Quads","Custom","Thighs","Body weight","","","1","74",""
"3602","butterfly_yoga_pose_butterfly_yoga_pose_71x","Butterfly Yoga Pose","Quads","Chest","Thighs","Body weight","Thighs","Thighs","1","74","muscle_mismatch:Quads->Chest;image_target:Thighs;video_target:Thighs"
"3603","cable_forward_lunge","Cable Forward Lunge","Quads","Quads","Quadriceps, Thighs","Cable","Thighs","","1","44","missing_video"
"3604","cable_front_squat","Cable Front Squat","Quads","Quads","Quadriceps, Thighs","Cable","Thighs","","2","44","missing_video;duplicate_group"
"3605","cable_front_squat_cable_front_squat_8o2","Cable Front Squat","Quads","Quads","Quadriceps, Thighs","Cable","Thighs","","2","44","missing_video;duplicate_group"
"3606","cable_lateral_lunge","Cable Lateral Lunge","Quads","Quads","Quadriceps, Thighs","Cable","Thighs","","2","44","missing_video;duplicate_group"
"3607","cable_lateral_lunge_cable_lateral_lunge_8o3","Cable Lateral Lunge","Quads","Quads","Quadriceps, Thighs","Cable","Thighs","","2","44","missing_video;duplicate_group"
"3608","cable_lunge","Cable Lunge","Quads","Quads","Quadriceps, Thighs","Cable","Thighs","","1","44","missing_video"
"3609","cable_rear_lunge_from_stepbox","Cable Rear Lunge from Stepbox","Quads","Quads","Thighs","Cable","Thighs","","1","44","missing_video"
"3610","cable_squat_row_cable_squat_row_7c3","Cable Squat Row","Quads","Quads","Thighs","Cable","Back","","2","44","missing_video;image_target:Back;duplicate_group"
"3611","cable_squat_row","Cable Squat Row","Quads","Quads","Back","Cable","Back","Back","2","74","image_target:Back;video_target:Back;duplicate_group"
"3612","camel_pose","Camel Pose","Quads","Custom","Thighs","Body weight","","","1","44","missing_video"
